"Algorithm","Hash","Path"
"SHA256","3B9A63EAE5B74077BE92E11B2D0EB69CEFA7DA033DCE90D3DEFACD4F7D1DA134","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","819FECC8398CC257AD7E2356D697ED55F0BAC7E62909FEFDCA193B31D2D8656F","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","C47FE2C998D7AD1DBBF227718B9223509F40A3801B281E69BC61CAE496635524","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","F727BC1129AAFE677F518E3CAA621B7AAC8E84E7699F22214397DDC87B37A392","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","FF990E7D0268197A8C7AE51F1F6DFE03ABD123DFA9F86E83288644499D9946A1","C:\LAB3\Evidence\autoruns_logon_before.csv"
"SHA256","09E8556570C46CBF16017A7CD3BEC70CD7D9064D741A816A8CE526CED53FF26D","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","E8E4AE6273D8A188D1522377144B2138DD7F2AC5160EBEF71E974EBB4E09EFD4","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","EBF68DB1D9EC25B152DB4055CB8C9EFB545F35AEBE74D974D0D28B254CA7F4C3","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","AC14F1D3AF197ACD91450A6E7BD379A9EE17FD56E365FA284847AAD168F9E5F7","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","A81D7755E120C8F1A7B16FBEEBBFC481AB49F21BCDDBD3162B82BBD32A934D9C","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","D82DDB0EA9AEBEFA22ECE9C2AF628E39A910C5B04D7E6122570652F091998924","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","FF4185ABE0DCB7E4D119BEB9A4CF5CF84626FABC9DAD1A4B8E63CC4A79834067","C:\LAB3\Evidence\start_time.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
